paper_id,publication_year,cited_by_count,num_authors,num_institutions,num_countries,is_multi_institution,is_international,has_elite_affiliation,has_industry,has_gov_nonprofit,has_us_institution,is_open_access,is_journal,paper_age,high_impact,log_num_authors,log_num_institutions,log_num_countries
https://openalex.org/W4233335515,2018,0,2,0,0,0,0,0,0,0,0,0,1,8,0,1.0986122886681098,0.0,0.0
https://openalex.org/W4230469811,2018,0,20,0,0,0,0,0,0,0,0,1,1,8,0,3.044522437723423,0.0,0.0
https://openalex.org/W2902944974,2018,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0.6931471805599453,0.0,0.0
https://openalex.org/W2809107273,2018,0,6,0,0,0,0,0,0,0,0,0,1,8,0,1.9459101490553132,0.0,0.0
https://openalex.org/W2909588238,2018,1,3,1,1,0,0,0,0,0,0,0,0,8,0,1.3862943611198906,0.6931471805599453,0.6931471805599453
https://openalex.org/W2809901270,2018,92,12,6,3,1,1,0,1,0,1,0,1,8,1,2.5649493574615367,1.9459101490553132,1.3862943611198906
https://openalex.org/W2795185462,2018,13,1,1,1,0,0,0,0,0,0,0,1,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2905224525,2018,0,4,1,1,0,0,0,0,0,0,1,1,8,0,1.6094379124341003,0.6931471805599453,0.6931471805599453
https://openalex.org/W2898717756,2018,0,1,0,0,0,0,0,0,0,0,1,0,8,0,0.6931471805599453,0.0,0.0
https://openalex.org/W2892264303,2018,7,2,0,0,0,0,0,0,0,0,0,1,8,0,1.0986122886681098,0.0,0.0
https://openalex.org/W2884635977,2018,9,3,2,2,1,1,0,0,0,1,0,1,8,0,1.3862943611198906,1.0986122886681098,1.0986122886681098
https://openalex.org/W2883567471,2018,9,2,1,1,0,0,0,0,0,1,1,0,8,0,1.0986122886681098,0.6931471805599453,0.6931471805599453
https://openalex.org/W2910316733,2018,0,6,2,1,1,0,0,0,0,0,0,0,8,0,1.9459101490553132,1.0986122886681098,0.6931471805599453
https://openalex.org/W2944755521,2018,7,3,2,1,1,0,0,0,0,0,1,1,8,0,1.3862943611198906,1.0986122886681098,0.6931471805599453
https://openalex.org/W2890618978,2018,0,1,1,1,0,0,0,0,0,0,1,0,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W4379251591,2018,0,8,1,1,0,0,0,0,0,0,1,0,8,0,2.1972245773362196,0.6931471805599453,0.6931471805599453
https://openalex.org/W2888688671,2018,2,1,1,1,0,0,0,0,0,1,0,1,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W3048152436,2018,2,3,2,2,1,1,0,0,0,0,1,1,8,0,1.3862943611198906,1.0986122886681098,1.0986122886681098
https://openalex.org/W2900050440,2018,41,1,1,1,0,0,0,0,0,0,1,1,8,1,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2791016724,2018,8,3,0,0,0,0,0,0,0,0,1,1,8,0,1.3862943611198906,0.0,0.0
https://openalex.org/W2810988464,2018,24,3,1,1,0,0,1,0,0,0,0,1,8,0,1.3862943611198906,0.6931471805599453,0.6931471805599453
https://openalex.org/W4399166936,2018,3,1,1,1,0,0,0,1,0,1,1,1,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2790786575,2018,4,5,4,1,1,0,0,0,0,0,0,1,8,0,1.791759469228055,1.6094379124341003,0.6931471805599453
https://openalex.org/W2887435877,2018,14,4,1,1,0,0,0,0,0,0,1,1,8,0,1.6094379124341003,0.6931471805599453,0.6931471805599453
https://openalex.org/W2798465692,2018,62,1,0,0,0,0,0,0,0,0,0,1,8,1,0.6931471805599453,0.0,0.0
https://openalex.org/W2810588400,2018,0,1,1,1,0,0,0,0,0,0,1,1,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2913903152,2018,0,4,1,1,0,0,0,0,0,0,0,1,8,0,1.6094379124341003,0.6931471805599453,0.6931471805599453
https://openalex.org/W2884405481,2018,30,5,2,2,1,1,0,0,0,0,0,1,8,1,1.791759469228055,1.0986122886681098,1.0986122886681098
https://openalex.org/W2964056261,2018,4,3,0,0,0,0,0,0,0,0,0,1,8,0,1.3862943611198906,0.0,0.0
https://openalex.org/W2903945600,2018,21,4,1,1,0,0,0,0,0,0,0,1,8,0,1.6094379124341003,0.6931471805599453,0.6931471805599453
https://openalex.org/W2781522021,2018,11,1,1,1,0,0,0,0,0,1,1,1,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2895974484,2018,8,1,3,1,1,0,0,0,0,0,0,1,8,0,0.6931471805599453,1.3862943611198906,0.6931471805599453
https://openalex.org/W2811389775,2018,2,2,0,0,0,0,0,0,0,0,1,1,8,0,1.0986122886681098,0.0,0.0
https://openalex.org/W2918330235,2018,2,1,1,1,0,0,0,0,0,0,1,1,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2904102287,2018,0,4,1,1,0,0,0,0,0,0,1,0,8,0,1.6094379124341003,0.6931471805599453,0.6931471805599453
https://openalex.org/W4256224965,2018,6,2,2,1,1,0,0,0,0,1,0,1,8,0,1.0986122886681098,1.0986122886681098,0.6931471805599453
https://openalex.org/W2806278427,2018,2,4,3,2,1,1,0,0,0,0,1,1,8,0,1.6094379124341003,1.3862943611198906,1.0986122886681098
https://openalex.org/W2795152505,2018,5,6,3,2,1,1,0,0,0,1,0,1,8,0,1.9459101490553132,1.3862943611198906,1.0986122886681098
https://openalex.org/W3163161142,2018,0,3,0,0,0,0,0,0,0,0,0,1,8,0,1.3862943611198906,0.0,0.0
https://openalex.org/W2922343608,2018,0,3,0,0,0,0,0,0,0,0,0,1,8,0,1.3862943611198906,0.0,0.0
https://openalex.org/W2964152690,2018,2,3,1,1,0,0,0,0,0,0,0,0,8,0,1.3862943611198906,0.6931471805599453,0.6931471805599453
https://openalex.org/W2807896264,2018,0,9,0,0,0,0,0,0,0,0,0,0,8,0,2.302585092994046,0.0,0.0
https://openalex.org/W3041266248,2018,0,1,1,1,0,0,0,0,0,0,0,0,8,0,0.6931471805599453,0.6931471805599453,0.6931471805599453
https://openalex.org/W2982518628,2018,17,4,0,0,0,0,0,0,0,0,1,0,8,0,1.6094379124341003,0.0,0.0
